business_name,maps_position,address,phone,website,website_status,facebook,instagram,linkedin,other_socials,email,email_found_on,opportunity_score,opportunity,opportunity_reasons
Towers Advertising,18,"7324 Southwest Fwy #1462, Houston, TX 77074, USA",(281) 336-1040,,no website,,,,,,,100,HIGH,no website
SignAd Outdoor Advertising,9,"1010 North Loop, Houston, TX 77009, USA",(713) 861-6013,http://www.signad.com/,broken,,,,,,,90,HIGH,broken website
Forthea Digital Marketing,16,"2727 Allen Pkwy, Houston, TX 77019, USA",(713) 568-2763,https://www.forthea.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=Website,broken,,,,,,,90,HIGH,broken website
Versa Creative,6,"7600 W Tidwell Rd Ste 810, Houston, TX 77040, USA",(832) 831-7590,https://www.versacreative.com/?utm_source=Google&utm_medium=organic&utm_campaign=GoogleBusinessProfile,working,https://www.facebook.com/versacreativegroup/,https://www.instagram.com/versa_creative,https://www.linkedin.com/company/versa-creative-group,https://twitter.com/versacreative; https://www.youtube.com/user/VersaCreative,begin@versacreative.com,https://www.versacreative.com/contact,15,MEDIUM,weak/no CTA
9thWonder,7,"1201 San Jacinto St Ste 267, Houston, TX 77002, USA",(713) 862-5100,https://www.9thwonder.com/,working,https://www.facebook.com/gravitygloballtd,https://www.instagram.com/gravity.global/,https://www.linkedin.com/company/gravityglobal,https://x.com/Gravity__Global,newbusiness@gravityglobal.com,https://www.9thwonder.com,15,MEDIUM,weak/no CTA
5+8,13,"2017 W Gray St #10, Houston, TX 77019, USA",(832) 203-8598,http://5plus8.com/,working,https://www.facebook.com/5plus8,https://www.instagram.com/5plus8,https://www.linkedin.com/company/5-8,https://www.tiktok.com/@5plus8,team@5plus8.com,http://5plus8.com,15,MEDIUM,weak/no CTA
Symphony Advertising,1,"401 Franklin St Ste 2400 - 149, Houston, TX 77002, USA",(281) 767-8984,https://symphonyadvertising.com/,working,https://www.facebook.com/symphonyadvertising,https://www.instagram.com/symphonyadvertising/,https://www.linkedin.com/in/itscesargil/,https://www.tiktok.com/@cesargil,,,0,LOW,no major issues detected
Love Advertising,2,"3550 W 12th St, Houston, TX 77008, USA",(713) 552-1055,https://loveadv.com/,working,https://www.facebook.com/LoveAdv/,https://www.instagram.com/loveadvertising/,https://www.linkedin.com/company/love-advertising/,,info@loveadv.com,https://loveadv.com,0,LOW,no major issues detected
BrandNation,3,"1210 W Clay St #26, Houston, TX 77019, USA",(713) 999-4661,https://gobrandnation.com/,working,https://www.facebook.com/GoBrandNation,https://www.instagram.com/gobrandnation/,https://www.linkedin.com/company/gobrandnation/,https://www.tiktok.com/@gobrandnation; https://www.youtube.com/@brandnation,,,0,LOW,no major issues detected
Adcetera,4,"3000 Louisiana St, Houston, TX 77006, USA",(713) 522-8006,https://www.adcetera.com/,working,https://www.facebook.com/adcetera,https://www.instagram.com/adcetera/,https://www.linkedin.com/company/adcetera/,https://www.youtube.com/user/adceteravids,,,0,LOW,no major issues detected
Strike Marketing,5,"906 Rutland St, Houston, TX 77008, USA",(281) 384-8112,http://www.strikemg.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,working,https://www.facebook.com/strikemghouston/,https://www.instagram.com/strikemghou/,https://www.linkedin.com/company/strikemghou/,,,,0,LOW,no major issues detected
AdsRole LLC,8,"700 Smith St #61070, Houston, TX 77002, USA",(855) 855-0990,https://www.adsrole.com/,working,https://www.facebook.com/AdsRole,https://www.instagram.com/AdsRole/,https://www.linkedin.com/company/adsrole/,https://x.com/AdsRole; https://www.youtube.com/@adsrole,info@adsrole.com,https://www.adsrole.com,0,LOW,no major issues detected
