business_name,maps_position,address,phone,website,website_status,facebook,instagram,linkedin,other_socials,email,email_found_on,opportunity_score,opportunity,opportunity_reasons
Charlotte Roofing Specialists,1,"3605-B Latrobe Dr, Charlotte, NC 28211, USA",(704) 610-6616,https://www.charlotteroofing.com/?utm_source=g-local&utm_medium=organic&utm_campaign=GMB,working,https://www.facebook.com/charlotteroofingspecialists,,,,,,0,LOW,no major issues detected
Carolina Roof Consultants,2,"1237 Tyvola Rd B, Charlotte, NC 28210, USA",(704) 277-4582,http://www.carolinaroofconsultants.com/,working,https://www.facebook.com/Carolinaroofconsultants/,https://www.instagram.com/carolinaroofconsultants/,,https://www.youtube.com/channel/UCxx3KM203wgBm5Yt_nvbFGw; https://www.youtube.com/watch?v=v4Jupc-JgCQ; https://www.youtube.com/watch?v=liA60vIl0l0; https://www.youtube.com/watch?v=eVjphj_17ew; https://www.youtube.com/channel/UCxx3KM203wgBm5Yt_nvbFGw/,,,0,LOW,no major issues detected
Charlotte Ace Roofing,3,"9805 Sandy Rock Pl Ste C799, Charlotte, NC 28277, USA",(704) 396-8383,https://charlotteaceroofing.com/,working,https://www.facebook.com/profile.php?id=100084878275868,https://www.instagram.com/charlotteaceroofing/?igshid=MjEwN2IyYWYwYw%3D%3D,https://www.linkedin.com/in/charlotte-ace-roofing-5759a924a/,,info@charlotteaceroofing.com,https://charlotteaceroofing.com,0,LOW,no major issues detected
Southern Star Roofing,4,"6132 Brookshire Blvd Ste I, Charlotte, NC 28216, USA",(704) 937-7663,https://southernstarroofing.com/,working,https://www.facebook.com/southernstarroofing,https://www.instagram.com/southernstarconstruction/,https://www.linkedin.com/company/southern-star-roofing-&-construction/about/,https://twitter.com/SouthernStarCLT; https://www.youtube.com/channel/UCbEo2-nw5GlfZZAtET541Ow,,,0,LOW,no major issues detected
Roof Medic,5,"7207 Matthews-Mint Hill Rd, Charlotte, NC 28227, USA",(704) 228-7788,https://roofmedic.com/,working,https://www.facebook.com/theroofmediccharlotte/,https://www.instagram.com/theroofmedic/,https://www.linkedin.com/company/the-roof-medic-charlotte,https://www.youtube.com/@roofmedic; https://www.youtube.com/watch?v=gVfqQPIo_y0; https://www.youtube.com/watch?v=2s8i4DyCFp8,contact@roofmedic.com,https://roofmedic.com,0,LOW,no major issues detected
Horizon Roofing - Charlotte,6,"429 East Blvd, Charlotte, NC 28203, USA",(980) 577-6009,https://horizonrr.com/?utm_campaign=gmb,working,https://www.facebook.com/horizonroofingandrestoration/,https://www.instagram.com/horizonroofingandrestoration/,https://www.linkedin.com/company/horizon-roofing-restoration/,https://www.youtube.com/channel/UCTseQtv4JBYzdrcL5P521-w,Info@HorizonRR.com,https://horizonrr.com,0,LOW,no major issues detected
Masters Roofing,7,"10801 Johnston Rd Ste 210D, Charlotte, NC 28226, USA",(704) 659-1290,https://www.mastersroofinginc.com/service-areas/charlotte-roofing-company/,working,https://www.facebook.com/pages/mastersroofinginc/1756262031295756,https://www.instagram.com/mastersroofinginc/,https://www.linkedin.com/company/mastersroofinginc/about/,https://www.youtube.com/channel/UCClFxmdrXnvwWQoPVufV63w,,,0,LOW,no major issues detected
Weather Roofing,9,"6135 Park S Dr #500, Charlotte, NC 28210, USA",(704) 774-3041,https://weatherroofing.com/,working,http://facebook.com/weatherroofingnc,http://instagram.com/weatherroofsnc,,,,,0,LOW,no major issues detected
Charlotte Pro Roofing,10,"10612 Providence Rd Ste D #378, Charlotte, NC 28277, USA",(704) 575-3185,http://charlotteproroofing.com/,working,https://www.facebook.com/profile.php?id=100010062753323,http://instagram.com/charlotteproroofing,https://www.linkedin.com/in/charlotte-pro-roofing-51b835106,https://twitter.com/1ProRoofing; https://www.youtube.com/channel/UCkpCwJTfYQZFNllXdcdmsWg,,,0,LOW,no major issues detected
H & S Roofing & Gutter Company,12,"1810 Industrial Center Cir, Charlotte, NC 28213, USA",(704) 334-9934,https://www.hsroofing.com/,working,https://www.facebook.com/HSroofingCLT,https://www.instagram.com/hsroofing/,https://www.linkedin.com/company/h&s-roofing-company-inc./,,sales@hsroofing.com,https://www.hsroofing.com,0,LOW,no major issues detected
Elite Roof and Solar - Charlotte,13,"400 Clement Ave, Charlotte, NC 28204, USA",(704) 992-7474,https://eliteroofandsolar.com/roofers/charlotte-nc/,working,https://www.facebook.com/eliteroofandsolar/,https://www.instagram.com/elite_roof_and_solar/,https://www.linkedin.com/company/elite-roofing-solar/,https://www.youtube.com/@eliteroofandsolar; https://twitter.com/EliteSolarRoof,,,0,LOW,no major issues detected
