business_name,maps_position,address,phone,website,website_status,facebook,instagram,linkedin,other_socials,email,email_found_on,opportunity_score,opportunity,opportunity_reasons
Brown's Tree Service,5,"5104 Yachtsman Ct, Raleigh, NC 27615, USA",(919) 845-6222,http://www.brownstreeserviceofraleigh.com/,broken,,,,,,,90,HIGH,broken website
Raleigh Stump Grinding,16,"15704 Wickershire Ct, Raleigh, NC 27614, USA",(919) 438-9026,http://stumpgrindingraleighnc.com/,broken,,,,,,,90,HIGH,broken website
P&A Tree Services LLC,14,"2728 Watkins Town Rd, Raleigh, NC 27616, USA",(984) 397-5596,https://p-and-a-treeservices.com/,working,,,,,p.and.a.treeservices@gmail.com,https://p-and-a-treeservices.com,15,MEDIUM,weak/no CTA
Lloyd's Tree Service,7,"2920 Forestville Rd Ste 100 PMB 1144, Raleigh, NC 27616, USA",(919) 278-7392,https://www.lloydstrees.com/,working,https://www.facebook.com/lloydstreesraleigh/,https://www.instagram.com/lloydstrees/,,,,,10,LOW,weak/no contact information
Joshua Tree Experts,9,"3434 Edwards Mill Rd Ste 112-252, Raleigh, NC 27612, USA",(919) 341-7000,https://www.joshuatreeexperts.com/raleigh-cary-nc,working,https://www.facebook.com/JoshuaTreeExperts/,https://www.instagram.com/JoshuaTreeExperts,http://linkedin.com/company/joshuatreeexperts,,clientcare@joshuatreeexperts.com,https://www.joshuatreeexperts.com/contact-us,10,LOW,weak/no contact information
Raleigh Tree Service,1,"5300 Atlantic Ave Ste 106-4, Raleigh, NC 27609, USA",(919) 737-2085,https://raleigh-tree-service.com/?utm_source=google&utm_medium=organic&utm_campaign=gbpwebsite,working,https://www.facebook.com/raleightreeservice/,,,,,,0,LOW,no major issues detected
Fredin Tree Service LLC,2,"6103 Hushpuppy Ct, Raleigh, NC 27616, USA",(919) 946-7353,https://www.fredintreesservice.com/,working,https://www.facebook.com/fredin.reyes.9?mibextid=LQQJ4d,,,,fredintreeservice@gmail.com,https://www.fredintreesservice.com,0,LOW,no major issues detected
A+ Tree & Crane Services,3,"5540 Centerview Dr Ste 200, Raleigh, NC 27606, USA",(919) 854-0020,http://www.aplustrees.com/,working,https://www.facebook.com/Aplustrees,https://www.instagram.com/aplustrees/?next=%2F,https://www.linkedin.com/in/a-plus-tree-and-crane-services-614689353/,,info@aplustrees.com,http://www.aplustrees.com,0,LOW,no major issues detected
ArborMax Tree Service,4,"2713 Renfrow Rd, Raleigh, NC 27603, USA",(919) 412-6790,http://www.arbormaxtree.com/,working,https://www.facebook.com/pages/Arbormax-Tree-Service/151471681561376,http://instagram.com/arbormax/,,https://twitter.com/arbormax; https://www.youtube.com/user/arbormax1/feed?view_as=public,info@arbormaxtree.com,http://www.arbormaxtree.com/contact,0,LOW,no major issues detected
Molina's Tree Service,6,"7025 Valley Dr, Raleigh, NC 27612, USA",(984) 206-3941,https://www.molinastreeservice.net/,working,,,,,,,0,LOW,no major issues detected
Arborex Tree Services,8,"4605 Windy Knoll Rd, Raleigh, NC 27616, USA",(919) 800-7718,http://www.arborextrees.com/,working,https://www.facebook.com/arborextrees/,,,https://www.youtube.com/howyoutubeworks/our-commitments/protecting-user-data/,info@arborextrees.com,http://www.arborextrees.com,0,LOW,no major issues detected
Tree Men Services LLC,10,"1313 E Lenoir St, Raleigh, NC 27610, USA",(919) 780-0860,http://treemenservices.com/,working,,,,,treemenservices@gmail.com,http://treemenservices.com,0,LOW,no major issues detected
CS Tree Services Inc,11,"1612 Burgess Hill Ct, Apex, NC 27539, USA",(919) 355-8299,https://www.cstreeservices.com/,working,http://www.facebook.com/CSTreeServices,https://www.instagram.com/cstreeservices,,,paige@cstreeservices.com,https://www.cstreeservices.com/contact,0,LOW,no major issues detected
Ashland Tree Service,12,"7205 Pinewood Ln, Raleigh, NC 27616, USA",(984) 328-3971,https://treeserviceraleigh.org/,working,,,,,beardsteven1959@gmail.com,https://treeserviceraleigh.org,0,LOW,no major issues detected
Longhorn Tree Service,13,"8804 Klondike Ct, Raleigh, NC 27615, USA",(919) 847-7731,https://www.longhorntreeservice.com/,working,https://www.facebook.com/pages/Longhorn-Tree-Service-Raleigh-NC/180569697009,,http://www.linkedin.com,http://www.twitter.com,,,0,LOW,no major issues detected
"Jackson's Tree Service, LLC",15,"5709 Timber Ln, Raleigh, NC 27606, USA",(919) 230-2790,https://www.jacksonstreeandstump.com/,working,https://facebook.com/187198931303777,,,https://twitter.com/JacksonsTreeNC,,,0,LOW,no major issues detected
Amazon Tree Service,17,"903 Benson Rd, Garner, NC 27529, USA",(919) 772-5892,https://www.amazontreeservicenc.com/?utm_source=google&utm_medium=business_profile&utm_campaign=website,working,https://www.facebook.com/AmazonTreeServiceLLC/,,,,,,0,LOW,no major issues detected
